WP,Latitude(deg),Longitude(deg),Ellipsoidal Height(m)
1,35.69010493,140.02119156,51.97000000
2,35.69006374,140.02116107,52.52700000
3,35.69003639,140.02115836,52.46066667
4,35.69000905,140.02115565,52.39433333
5,35.68998170,140.02115294,52.32800000
6,35.68997155,140.02119055,52.29766667
7,35.68996139,140.02122817,52.26733333
8,35.68995124,140.02126578,52.23700000
9,35.68993575,140.02132238,52.41000000
10,35.68994282,140.02134276,52.39266667
11,35.68994988,140.02136315,52.37533333
12,35.68995695,140.02138353,52.35800000
13,35.68998480,140.02141100,52.42400000
14,35.69000551,140.02138648,52.40466667
15,35.69002621,140.02136196,52.38533333
16,35.69004692,140.02133744,52.36600000
17,35.69007217,140.02129926,52.37066667
18,35.69009743,140.02126109,52.37533333
19,35.69012268,140.02122291,52.38000000
20,35.69010303,140.02120230,52.42900000
21,35.69008339,140.02118168,52.47800000
22,35.69006374,140.02116107,52.52700000
